ticker,quantity,buy_price,buy_date
ATD.TO,18,42.795,
ZIN.TO,65,32.0858,
BCE.TO,58,54.689,
BLX.TO,98,34.8919,
BIP-UN.TO,31,46.4771,
CNR.TO,13,161.2985,
CTC-A.TO,8,191.9688,
CVE.TO,24,22.7763,
DOL.TO,23,79.7013,
FTS.TO,32,55.6922,
HXE.TO,277,14.59,
IAG.TO,62,85.3211,
IVN.TO,80,18.4549,
XFN.TO,297,42.5474,
XIT.TO,112,39.9416,
XRE.TO,137,14.6526,
XMA.TO,266,14.6098,
MFC.TO,213,23.5269,
MRU.TO,15,55.516,
NGT.TO,37,53.94,
NPI.TO,32,30.5622,
NTR.TO,23,108.2243,
QSR.TO,10,87.499,
TIXT.TO,75,40.5432,
TIH.TO,15,113.846,
TOU.TO,38,76.2429,
WCN.TO,20,129.2695
